Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Island
2020-03-01,2,0,0,2,2,0,0,2,DKI Jakarta,Jawa
2020-03-02,2,0,0,2,4,0,0,4,DKI Jakarta,Jawa
2020-03-02,3,0,0,3,3,0,0,3,Jawa Barat,Jawa
2020-03-02,1,0,0,1,1,0,0,1,Riau,Sumatera
2020-03-03,2,0,0,2,6,0,0,6,DKI Jakarta,Jawa
2020-03-03,1,1,0,0,4,1,0,3,Jawa Barat,Jawa
2020-03-03,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-04,2,0,0,2,8,0,0,8,DKI Jakarta,Jawa
2020-03-04,1,0,0,1,5,1,0,4,Jawa Barat,Jawa
2020-03-04,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-05,0,1,0,-1,8,1,0,7,DKI Jakarta,Jawa
2020-03-05,1,0,0,1,6,1,0,5,Jawa Barat,Jawa
2020-03-05,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-06,1,0,0,1,1,0,0,1,Banten,Jawa
2020-03-06,0,0,0,0,8,1,0,7,DKI Jakarta,Jawa
2020-03-06,1,0,0,1,7,1,0,6,Jawa Barat,Jawa
2020-03-06,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-07,0,0,0,0,1,0,0,1,Banten,Jawa
2020-03-07,0,2,0,-2,8,3,0,5,DKI Jakarta,Jawa
2020-03-07,0,0,0,0,7,1,0,6,Jawa Barat,Jawa
2020-03-07,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-08,1,0,0,1,2,0,0,2,Banten,Jawa
2020-03-08,0,0,0,0,8,3,0,5,DKI Jakarta,Jawa
2020-03-08,0,0,0,0,7,1,0,6,Jawa Barat,Jawa
2020-03-08,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-09,0,0,0,0,2,0,0,2,Banten,Jawa
2020-03-09,0,1,0,-1,8,4,0,4,DKI Jakarta,Jawa
2020-03-09,0,0,0,0,7,1,0,6,Jawa Barat,Jawa
2020-03-09,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-10,0,0,0,0,2,0,0,2,Banten,Jawa
2020-03-10,0,0,0,0,8,4,0,4,DKI Jakarta,Jawa
2020-03-10,0,0,0,0,7,1,0,6,Jawa Barat,Jawa
2020-03-10,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-10,1,0,0,1,1,0,0,1,Sulawesi Tenggara,Sulawesi
2020-03-11,0,0,0,0,2,0,0,2,Banten,Jawa
2020-03-11,0,0,0,0,8,4,0,4,DKI Jakarta,Jawa
2020-03-11,0,1,0,-1,7,2,0,5,Jawa Barat,Jawa
2020-03-11,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-11,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi
2020-03-12,0,1,0,-1,2,1,0,1,Banten,Jawa
2020-03-12,0,1,4,-5,8,5,4,-1,DKI Jakarta,Jawa
2020-03-12,1,0,0,1,8,2,0,6,Jawa Barat,Jawa
2020-03-12,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-12,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi
2020-03-13,1,0,0,1,3,1,0,2,Banten,Jawa
2020-03-13,0,1,3,-4,8,6,7,-5,DKI Jakarta,Jawa
2020-03-13,4,0,4,0,12,2,4,6,Jawa Barat,Jawa
2020-03-13,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-13,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi
2020-03-14,1,0,0,1,4,1,0,3,Banten,Jawa
2020-03-14,1,1,1,-1,9,7,8,-6,DKI Jakarta,Jawa
2020-03-14,0,0,0,0,12,2,4,6,Jawa Barat,Jawa
2020-03-14,3,0,0,3,3,0,0,3,Kalimantan Timur,Kalimantan
2020-03-14,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-14,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi
2020-03-15,1,0,0,1,5,1,0,4,Banten,Jawa
2020-03-15,6,3,0,3,15,10,8,-3,DKI Jakarta,Jawa
2020-03-15,0,0,0,0,12,2,4,6,Jawa Barat,Jawa
2020-03-15,2,0,0,2,5,0,0,5,Kalimantan Timur,Kalimantan
2020-03-15,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-15,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi
2020-03-16,1,0,0,1,6,1,0,5,Banten,Jawa
2020-03-16,0,3,0,-3,15,13,8,-6,DKI Jakarta,Jawa
2020-03-16,1,0,0,1,1,0,0,1,Daerah Istimewa Yogyakarta,Jawa
2020-03-16,1,0,0,1,13,2,4,7,Jawa Barat,Jawa
2020-03-16,1,0,0,1,6,0,0,6,Kalimantan Timur,Kalimantan
2020-03-16,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-16,2,0,0,2,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-17,0,1,0,-1,6,2,0,4,Banten,Jawa
2020-03-17,1,1,0,0,16,14,8,-6,DKI Jakarta,Jawa
2020-03-17,0,0,0,0,1,0,0,1,Daerah Istimewa Yogyakarta,Jawa
2020-03-17,11,0,0,11,24,2,4,18,Jawa Barat,Jawa
2020-03-17,1,0,0,1,7,0,0,7,Kalimantan Timur,Kalimantan
2020-03-17,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-17,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-17,1,1,0,0,1,1,0,0,Sumatera Utara,Sumatera
2020-03-18,0,0,0,0,6,2,0,4,Banten,Jawa
2020-03-18,0,1,0,-1,16,15,8,-7,DKI Jakarta,Jawa
2020-03-18,0,0,0,0,1,0,0,1,Daerah Istimewa Yogyakarta,Jawa
2020-03-18,5,1,1,3,29,3,5,21,Jawa Barat,Jawa
2020-03-18,1,1,0,0,1,1,0,0,Jawa Tengah,Jawa
2020-03-18,2,0,0,2,2,0,0,2,Jawa Timur,Jawa
2020-03-18,0,0,0,0,7,0,0,7,Kalimantan Timur,Kalimantan
2020-03-18,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-18,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-18,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera
2020-03-19,0,1,0,-1,6,3,0,3,Banten,Jawa
2020-03-19,1,0,1,0,17,15,9,-7,DKI Jakarta,Jawa
2020-03-19,0,0,0,0,1,0,0,1,Daerah Istimewa Yogyakarta,Jawa
2020-03-19,7,1,0,6,36,4,5,27,Jawa Barat,Jawa
2020-03-19,1,0,0,1,2,1,0,1,Jawa Tengah,Jawa
2020-03-19,0,0,1,-1,2,0,1,1,Jawa Timur,Jawa
2020-03-19,0,0,0,0,7,0,0,7,Kalimantan Timur,Kalimantan
2020-03-19,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-19,2,0,0,2,2,0,0,2,Sulawesi Selatan,Sulawesi
2020-03-19,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-19,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera
2020-03-20,0,1,0,-1,6,4,0,2,Banten,Jawa
2020-03-20,1,3,1,-3,18,18,10,-10,DKI Jakarta,Jawa
2020-03-20,0,0,1,-1,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa
2020-03-20,20,3,0,17,56,7,5,44,Jawa Barat,Jawa
2020-03-20,2,0,0,2,4,1,0,3,Jawa Tengah,Jawa
2020-03-20,0,0,0,0,2,0,1,1,Jawa Timur,Jawa
2020-03-20,0,0,0,0,7,0,0,7,Kalimantan Timur,Kalimantan
2020-03-20,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-20,0,0,0,0,2,0,0,2,Sulawesi Selatan,Sulawesi
2020-03-20,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-20,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera
2020-03-21,0,0,0,0,6,4,0,2,Banten,Jawa
2020-03-21,0,3,6,-9,18,21,16,-19,DKI Jakarta,Jawa
2020-03-21,0,0,0,0,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa
2020-03-21,5,0,0,5,61,7,5,49,Jawa Barat,Jawa
2020-03-21,1,1,0,0,5,2,0,3,Jawa Tengah,Jawa
2020-03-21,0,0,0,0,2,0,1,1,Jawa Timur,Jawa
2020-03-21,0,0,0,0,7,0,0,7,Kalimantan Timur,Kalimantan
2020-03-21,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-21,0,0,0,0,2,0,0,2,Sulawesi Selatan,Sulawesi
2020-03-21,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-21,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera
2020-03-22,0,0,0,0,6,4,0,2,Banten,Jawa
2020-03-22,0,0,3,-3,18,21,19,-22,DKI Jakarta,Jawa
2020-03-22,0,0,0,0,1,0,1,0,Daerah Istimewa Yogyakarta,Jawa
2020-03-22,3,3,0,0,64,10,5,49,Jawa Barat,Jawa
2020-03-22,0,0,0,0,5,2,0,3,Jawa Tengah,Jawa
2020-03-22,0,0,0,0,2,0,1,1,Jawa Timur,Jawa
2020-03-22,0,0,0,0,7,0,0,7,Kalimantan Timur,Kalimantan
2020-03-22,1,0,0,1,1,0,0,1,Maluku,Maluku
2020-03-22,2,0,0,2,2,0,0,2,Papua,Papua
2020-03-22,0,0,0,0,1,0,0,1,Riau,Sumatera
2020-03-22,0,0,0,0,2,0,0,2,Sulawesi Selatan,Sulawesi
2020-03-22,0,0,0,0,3,0,0,3,Sulawesi Tenggara,Sulawesi
2020-03-22,0,0,0,0,1,1,0,0,Sumatera Utara,Sumatera
2020-03-23,0,0,0,0,6,4,0,2,Banten,Jawa
2020-03-23,0,0,0,0,18,21,19,-22,DKI Jakarta,Jawa
2020-03-23,0,1,0,-1,1,1,1,-1,Daerah Istimewa Yogyakarta,Jawa
2020-03-23,6,4,0,2,70,14,5,51,Jawa Barat,Jawa
2020-03-23,3,0,0,3,8,2,0,6,Jawa Tengah,Jawa
2020-03-23,0,0,1,-1,2,0,2,0,Jawa Timur,Jawa
2020-03-23,1,0,0,1,8,0,0,8,Kalimantan Timur,Kalimantan
2020-03-23,0,0,0,0,1,0,0,1,Maluku,Maluku
2020-03-23,1,0,0,1,1,0,0,1,Maluku Utara,Maluku
2020-03-23,0,0,0,0,2,0,0,2,Papua,Papua
